09 открытие	09 макс	09 мин	09 закрытие 	10 открыте	10 макс	10 мин	10 закрытие 	11 открыте	11 макс	11 мин	11 закрытие 	12 открыте	12 макс	12 мин	12 закрытие 
110410,00	110420,00	110380,00	110380,00	114440,00	114450,00	114350,00	114350,00	111200,00	111220,00	111100,00	111160,00	110160,00	110160,00	110100,00	110110,00
110380,00	110400,00	110360,00	110360,00	114350,00	114400,00	114320,00	114350,00	111160,00	111170,00	110930,00	110970,00	110110,00	110200,00	110100,00	110120,00
110370,00	110370,00	110340,00	110370,00	114340,00	114410,00	114320,00	114390,00	110980,00	111010,00	110900,00	110950,00	110120,00	110140,00	110060,00	110130,00
110370,00	110370,00	110340,00	110340,00	114400,00	114420,00	114350,00	114410,00	110970,00	110990,00	110840,00	110880,00	110140,00	110210,00	110140,00	110170,00
110330,00	110360,00	110300,00	110310,00	114420,00	114440,00	114330,00	114340,00	110880,00	110900,00	110730,00	110740,00	110170,00	110330,00	110170,00	110300,00
110310,00	110330,00	110300,00	110320,00	114340,00	114360,00	114280,00	114320,00	110740,00	110750,00	110580,00	110700,00	110300,00	110310,00	110210,00	110220,00
110330,00	110330,00	110250,00	110260,00	114320,00	114340,00	114300,00	114330,00	110700,00	110750,00	110590,00	110600,00	110220,00	110240,00	110170,00	110190,00
110250,00	110280,00	110250,00	110270,00	114330,00	114380,00	114320,00	114360,00	110610,00	110710,00	110580,00	110610,00	110190,00	110220,00	110160,00	110170,00
110280,00	110330,00	110270,00	110320,00	114350,00	114370,00	114260,00	114270,00	110610,00	110670,00	110510,00	110610,00	110160,00	110200,00	110100,00	110100,00
110320,00	110340,00	110310,00	110330,00	114270,00	114380,00	114260,00	114350,00	110610,00	110640,00	110390,00	110440,00	110110,00	110140,00	110060,00	110110,00
110340,00	110360,00	110320,00	110350,00	114350,00	114360,00	114320,00	114330,00	110440,00	110600,00	110440,00	110600,00	110120,00	110160,00	110100,00	110140,00
110350,00	110370,00	110350,00	110360,00	114320,00	114330,00	114270,00	114300,00	110590,00	110600,00	110310,00	110330,00	110150,00	110190,00	110120,00	110170,00
110370,00	110460,00	110370,00	110440,00	114310,00	114360,00	114270,00	114340,00	110320,00	110550,00	110270,00	110530,00	110170,00	110250,00	110170,00	110210,00
110440,00	110460,00	110440,00	110450,00	114330,00	114330,00	114260,00	114280,00	110530,00	110550,00	110430,00	110540,00	110220,00	110300,00	110210,00	110210,00
110450,00	110490,00	110450,00	110460,00	114290,00	114290,00	114250,00	114260,00	110530,00	110670,00	110520,00	110660,00	110200,00	110220,00	110130,00	110140,00
110450,00	110480,00	110450,00	110480,00	114270,00	114330,00	114270,00	114300,00	110660,00	110720,00	110620,00	110660,00	110140,00	110140,00	110050,00	110090,00
110490,00	110510,00	110480,00	110510,00	114300,00	114320,00	114270,00	114320,00	110650,00	110710,00	110570,00	110700,00	110090,00	110160,00	110080,00	110160,00
110500,00	110520,00	110500,00	110520,00	114320,00	114350,00	114240,00	114260,00	110690,00	110740,00	110630,00	110700,00	110160,00	110180,00	110090,00	110130,00
110510,00	110510,00	110480,00	110480,00	114270,00	114270,00	114210,00	114250,00	110710,00	110760,00	110680,00	110700,00	110130,00	110130,00	110090,00	110090,00
110480,00	110490,00	110440,00	110490,00	114240,00	114260,00	114220,00	114250,00	110690,00	110720,00	110600,00	110670,00	110090,00	110200,00	110090,00	110170,00
110460,00	110460,00	110450,00	110450,00	114240,00	114240,00	114190,00	114230,00	110670,00	110760,00	110630,00	110750,00	110180,00	110200,00	110150,00	110200,00
110450,00	110480,00	110450,00	110480,00	114200,00	114240,00	114190,00	114230,00	110740,00	110770,00	110700,00	110750,00	110200,00	110240,00	110150,00	110230,00
110480,00	110490,00	110460,00	110490,00	114230,00	114280,00	114220,00	114270,00	110740,00	110790,00	110670,00	110750,00	110220,00	110240,00	110190,00	110200,00
110490,00	110490,00	110440,00	110450,00	114280,00	114410,00	114270,00	114340,00	110750,00	110880,00	110730,00	110860,00	110210,00	110220,00	110170,00	110210,00
110460,00	110500,00	110460,00	110500,00	114340,00	114360,00	114230,00	114230,00	110850,00	110860,00	110800,00	110800,00	110210,00	110260,00	110210,00	110230,00
110500,00	110500,00	110460,00	110490,00	114230,00	114290,00	114220,00	114220,00	110800,00	110890,00	110780,00	110820,00	110240,00	110310,00	110210,00	110300,00
110490,00	110490,00	110460,00	110480,00	114220,00	114220,00	114120,00	114160,00	110820,00	110820,00	110750,00	110800,00	110300,00	110380,00	110290,00	110320,00
110480,00	110500,00	110430,00	110430,00	114160,00	114160,00	114050,00	114060,00	110800,00	110830,00	110700,00	110830,00	110320,00	110360,00	110310,00	110340,00
110440,00	110440,00	110350,00	110390,00	114050,00	114060,00	113950,00	113990,00	110830,00	110960,00	110820,00	110930,00	110330,00	110420,00	110320,00	110390,00
110400,00	110400,00	110320,00	110370,00	113990,00	113990,00	113810,00	113830,00	110930,00	111060,00	110930,00	111010,00	110390,00	110440,00	110390,00	110400,00
110330,00	110470,00	110320,00	110390,00	113830,00	113880,00	113810,00	113840,00	110990,00	111050,00	110940,00	111000,00	110400,00	110510,00	110390,00	110510,00
110410,00	110440,00	110400,00	110430,00	113840,00	113860,00	113800,00	113810,00	110990,00	111010,00	110950,00	110950,00	110510,00	110540,00	110490,00	110530,00
110420,00	110480,00	110390,00	110480,00	113810,00	113810,00	113720,00	113790,00	110970,00	111060,00	110950,00	111000,00	110510,00	110540,00	110450,00	110480,00
